"","Date","Location","Airplane.model","Fatalities","lon","lat"
"1","Feb 19, 2003 at 1724 LT","Kerman, Kermanshah","Ilyushin II-76",275,NA,NA
"2","Feb 16, 1998 at 2006 LT","Taipei, Taipei City ","Airbus A300-600",203,121.5654177,25.0329694
"3","Jul 17, 2007 at 1854 LT","São Paulo, São Paulo","Airbus A320",199,-46.6333094,-23.5505199
"4","Jul 28, 2010 at 0941 LT","Islamabad, Islamabad Capital Territory ","Airbus A321",152,73.0931461,33.7293882
"5","Mar 24, 2015 at 1041 LT","Prads-Haute-Bléone, Alpes-de-Haute-Provence","Airbus A320",150,6.442807,44.219812
"6","Apr 15, 2002 at 1121 LT","Busan, Busan ","Boeing 767-200",129,129.0756416,35.1795543
"7","Apr 20, 2012 at 1840 LT","Islamabad, Islamabad Capital Territory ","Boeing 737-200",127,73.0931461,33.7293882
"8","Aug 14, 2005 at 1203 LT","Athens, Attica / ","Boeing 737-300",121,23.7275388,37.9838096
"9","Feb 2, 1998 at 1100 LT","Cagayán de Oro, Misamis Oriental","Douglas DC-9",104,124.6318977,8.4542363
"10","Dec 11, 1998 at 1910 LT","Surat Thani, Surat Thani ","Airbus A310",101,99.3266976,9.1338851
"11","Jan 28, 2002 at 1024 LT","Tulcán, Carchi","Boeing 727-100",94,-77.7165925,0.8150687
"12","Sep 16, 2007 at 1540 LT","Phuket, Phuket ","McDonnell Douglas MD-82",90,98.3922504,7.8804479
"13","Oct 31, 2000 at 2318 LT","Taipei, Taipei City ","Boeing 747-400",83,121.5654177,25.0329694
"14","Feb 11, 2014 at 1138 LT","Aïn Kercha, Oum el-Bouaghi","Lockheed C-130 Hercules",76,6.6905458,35.9302835
"15","May 26, 2003 at 0445 LT","Trabzon, Black Sea Region ","Yakovlev Yak-42",75,39.7167633,41.0026969
"16","Jan 8, 2003 at 2019 LT","Diyarbakir, Southeastern Anatolia Region ","Avro RJ100",75,40.2109826,37.9249733
"17","Oct 10, 1997 at 2210 LT","Nuevo Berlin, Río Negro","Douglas DC-9",74,-58.0470008,-32.9809545
"18","Dec 17, 1997 at 2113 LT","Thessaloniki, Thessaly / Tessa","Yakovlev Yak-42",70,NA,NA
"19","Jul 1, 2002 at 2335 LT","Konstanz, Baden-Württemberg","Tupolev TU-154",69,9.1732384,47.6779496
"20","Nov 30, 2007 at 0136 LT","Isparta, Mediterranean Region ","McDonnell Douglas MD-83",57,30.553705,37.7626487
"21","Sep 29, 1998 at 1354 LT","Palaly, Northern Province ","Antonov AN-24",55,80.0898085,9.7982377
"22","Aug 16, 2015 at 1455 LT","Oksibil, Special Region of Papua","ATR42-300",54,NA,NA
"23","Apr 20, 1998 at 1647 LT","Bogotá, Bogotá Capital District","Boeing 727-200",53,-74.072092,4.7109886
"24","Jul 23, 2014 at 1906 LT","Makung, Penghu County ","ATR72-500",48,119.5774616,23.5706269
"25","Dec 7, 2016 at 1616 LT","Havelian, Khyber Pakhtunkhwa ","ATR42-500",47,73.1438116,34.0465833
"26","Feb 21, 2008 at 1700 LT","Mérida, Mérida","ATR42-300",46,-71.1804988,8.5698244
"27","Feb 4, 2015 at 1054 LT","Taipei-Songshan, Taipei City ","ATR72-600",43,121.5638621,25.0541591
"28","Nov 4, 2015 at 0900 LT","Juba, Central Equatoria ","Antonov AN-12",41,31.57125,4.859363
"29","Mar 30, 2000","Anuradhapura, North Central Province ","Antonov AN-26",40,80.4036508,8.3113518
"30","May 12, 1998 at 1930 LT","Néma, Hodh Ech Chargui","Xian Yunsunji Y-7-100",39,-7.2598913,16.6143698
"31","May 8, 1997 at 2132 LT","Shenzhen, Guangdong","Boeing 737-300",35,114.057865,22.543096
"32","Nov 29, 2003 at 1516 LT","Boende, Équateur","Antonov AN-26",33,20.8850949,-0.2842862
"33","Aug 19, 2012 at 0800 LT","Talodi, South Kordofan ","Antonov AN-26",32,30.3839017,10.6377926
"34","Jan 18, 2015","Abu Adh Dhuhur, Idlib Governorate ","Antonov AN-26",30,37.0480843,35.7369445
"35","Oct 13, 2011 at 1717 LT","Madang, Madang","De Havilland Dash-8-100",28,145.7856324,-5.2218841
"36","Mar 16, 2005 at 1353 LT","Varandey, Republic of Yamalia","Antonov AN-24",28,NA,NA
"37","Jan 21, 1999 at 0810 LT","Bluefields, Región Autónoma del Atlántico Sur","Antonov AN-26",28,-83.7703693,12.0111402
"38","Feb 12, 1998 at 0830 LT","Nasir, Upper Nile ","Antonov AN-32",27,33.0704605,8.6228644
"39","May 7, 2011 at 1405 LT","Kaimana, Special Region of West Papua","Xian MA60",25,NA,NA
"40","Jan 25, 2001 at 1815 LT","Ciudad Bolivar, Bolívar","Douglas DC-3",24,-63.5535552,8.0882791
"41","Mar 15, 2016 at 1430 LT","Fátima, Pastaza","IAI Arava 201",22,-77.9988904,-1.4279679
"42","May 18, 2011 at 2050 LT","Prahuaniyeu, Río Negro","Saab 340",22,-67.9423981,-41.2785416
"43","Sep 2, 2011 at 1748 LT","Robinson Crusoe Island, Chile","Casa 212 Aviocar",21,-78.8460993,-33.6414001
"44","Nov 5, 2010 at 0706 LT","Karachi, Sindh ","Beechcraft 1900C",21,67.0099388,24.8614622
"45","Aug 24, 2003 at 0457 LT","Cap Haïtien, North","Let 410UVP",21,-72.2067681,19.7370362
"46","Feb 11, 2006 at 0800 LT","Aweil, Northern Bahr el Ghazal ","Antonov AN-26",20,27.3998369,8.7670867
"47","Mar 24, 2001 at 1628 LT","Saint-Barthélemy, Guadeloupe","De Havilland DHC-6 Twin Otter",20,-61.531419,16.2542883
"48","Sep 12, 2001 at 1625 LT","Chichén Itzá, Yucatán","Let 410UVP",19,-88.5677826,20.6842849
"49","Nov 9, 1999 at 1903 LT","Uruapan, Michoacán","Douglas DC-9",18,-102.0430476,19.4064492
"50","Sep 14, 2011 at 1130 LT","Huambo, Huambo","Embraer EMB-120 Brasília",17,15.7468535,-12.7739761
"51","Sep 13, 2010 at 0959 LT","Puerto Ordaz, Bolívar","ATR42-300",17,-62.7676633,8.2750921
"52","Apr 12, 2005 at 1058 LT","Timika, Special Region of Papua","De Havilland DHC-6 Twin Otter",17,NA,NA
"53","Feb 20, 2003 at 0915 LT","Kohat, Khyber Pakhtunkhwa ","Fokker F27 Friendship",17,71.4332193,33.5834014
"54","Dec 16, 2001 at 1025 LT","Medellín, Antioquia","Let 410UVP",16,-75.5812119,6.244203
"55","Mar 17, 2001 at 0823 LT","Lubango, Huíla","Beechcraft 1900C",16,13.5321234,-14.9186136
"56","Aug 10, 1997 at 0833 LT","Matsu Island, Lienchiang County ","Dornier DO228",16,119.9516652,26.160243
"57","Aug 2, 2009 at 1100 LT","Oksibil, Special Region of Papua","De Havilland DHC-6 Twin Otter",15,NA,NA
"58","Feb 22, 2005 at 0715 LT","Sarmi, Special Region of Papua","Casa 212 Aviocar",15,NA,NA
"59","Feb 14, 2011 at 0802 LT","Tegucigalpa, Francisco Morazán","Let 410UVP",14,-87.192136,14.0722751
"60","Apr 4, 2001","Adar Yeil, Upper Nile ","Antonov AN-24",14,NA,NA
"61","Aug 6, 2000","Puerto Montt, Región de Los Lagos","Casa 212 Aviocar",14,-72.9411364,-41.468917
"62","Dec 18, 2016 at 0609 LT","Wamena, Special Region of Papua","Lockheed C-130 Hercules",13,138.9516853,-4.1001213
"63","May 24, 2007 at 1745 LT","Pampa Hermosa, San Martín","De Havilland DHC-6 Twin Otter",13,-76.2739795,-6.1150231
"64","Nov 17, 2003 at 1625 LT","Wau, Western Bahr el Ghazal ","Antonov AN-12",13,27.9834738,7.7091884
"65","Mar 18, 1998 at 1932 LT","Hsinchu, Hsinchu City ","Saab 340",13,120.9674798,24.8138287
"66","Dec 28, 2010 at 2130 LT","Tula, Tula oblast","Antonov AN-22",12,37.6184915,54.204836
"67","Nov 28, 2010 at 0148 LT","Karachi, Sindh ","Ilyushin II-76",12,67.0099388,24.8614622
"68","Jul 31, 2015 at 1430 LT","Agustín Codazzi, Cesar","Casa-Nurtanio CN235 (IPTN)",11,-73.237105,10.034716
"69","Feb 21, 2014 at 0130 LT","Grombalia, Nabeul Governorate ","Antonov AN-26",11,10.5014909,36.6024831
"70","Nov 1, 2009 at 0849 LT","Mirny, Republic of Yakutia ","Ilyushin II-76",11,NA,NA
"71","Apr 16, 2008 at 1423 LT","Annobón Island, Annobón Province ","Antonov AN-32",11,5.6195112,-1.4221087
"72","Sep 6, 2014 at 1450 LT","Araracuara, Caquetá","Piper PA-31-350 Navajo Chieftain",10,-72.3962907,-0.6013888
"73","Mar 12, 2013 at 2030 LT","Almeirim, Pará","Embraer EMB-821 Carajá",10,-52.5785846,-1.5239568
"74","Aug 24, 2008 at 0940 LT","Cabañas, Zacapa","Cessna 208 Caravan",10,-89.796633,14.9358752
"75","Jul 5, 2007 at 0930 LT","Culiacán Rosales, Sinaloa","Rockwell Sabreliner 40R",10,-107.3940117,24.8090649
"76","Mar 24, 2000 at 1804 LT","Colombo, Western Province ","Antonov AN-12",10,79.861243,6.9270786
"77","Dec 31, 1997 at 0745 LT","Rio Sidra, Guna Yala","Britten-Norman Islander",10,NA,NA
"78","Jun 16, 2016 at 1305 LT","B","Casa 212 Aviocar",9,49.5924134,37.2809455
"79","Sep 4, 2010 at 1327 LT","Fox Glacier, West Coast Regional Council","Fletcher FU-24",9,NA,NA
"80","Jul 10, 2008 at 1025 LT","Puerto Montt, Región de Los Lagos","Beechcraft 99",9,-72.9411364,-41.468917
"81","Mar 26, 2005 at 0940 LT","Providencia Island, San Andrés, Providencia & Santa Catalina","Let 410UVP",9,-81.3729372,13.3387613
"82","Aug 29, 1997","Puerto Inirida, Guainía","Pilatus PC-6 (Porter & Turbo Porter)",9,-67.923917,3.868297
"83","May 1, 2017 at 1630 LT","Bogotá-Guaymaral, Bogotá Capital District","Cessna 208B Grand Caravan",8,-74.0709129,4.8164206
"84","Apr 29, 2017","San Cristóbal, Artemisa","Antonov AN-26",8,-83.0415078,22.7129122
"85","Jul 31, 2016 at 2100 LT","Londrina, Paraná","Embraer EMB-820 Navajo",8,-51.1695824,-23.3044524
"86","Apr 20, 2014 at 1530 LT","Jämijärvi, Satakunta","Comp Air CA-8",8,22.6228262,61.8327572
"87","Mar 22, 2012 at 0058 LT","Puerto Aguirre, Región Aysén del General Carlos Ibáñez del Campo","Beechcraft Super King Air 350",8,-73.5225084,-45.1566291
"88","Mar 1, 2012 at 1200 LT","Quellón, Región de Los Lagos","Piper PA-31-350 Navajo Chieftain",8,-73.6138821,-43.1169327
"89","Apr 11, 2008 at 2215 LT","Chi","Antonov AN-32",8,-96.0211039,41.321392
"90","Nov 4, 2007 at 1409 LT","São Paulo, São Paulo","Learjet 35",8,-46.6333094,-23.5505199
"91","Sep 1, 2005 at 1044 LT","Bogotá, Bogotá Capital District","Piper PA-31-350 Navajo Chieftain",8,-74.072092,4.7109886
"92","Sep 13, 2003 at 1830 LT","Tecalitlán, Jalisco","Cessna 402",8,-103.3070959,19.4715159
"93","Feb 24, 2003","Karachi, Sindh ","Cessna 402",8,67.0099388,24.8614622
"94","Feb 7, 2002 at 0015 LT","Agadir, Souss-Massa-Drâa","Antonov AN-12",8,-9.5981072,30.4277547
"95","Feb 19, 2001","Puerto López, Meta","Rockwell Gulfstream Commander 1000",8,-72.955918,4.091354
"96","Oct 29, 2000","Bogotá, Bogotá Capital District","Piper PA-31-350 Navajo Chieftain",8,-74.072092,4.7109886
"97","Jan 11, 1999 at 1545 LT","Arakkonam-Rajali NAS, Tamil Nadu","Hindustan Aeronautics HAL-748",8,NA,NA
"98","Dec 11, 1997 at 1657 LT","Naryan Mar, Arkhangelsk oblast","Antonov AN-12",8,NA,NA
"99","Oct 10, 1997","Taipei, Taipei City ","Lockheed C-130 Hercules",8,121.5654177,25.0329694
"100","May 18, 2016 at 1900 LT","Camp Dwyer AFB, Helmand","Antonov AN-12",7,NA,NA
"101","Mar 19, 2016 at 1523 LT","Campo de Marte AFB ","Comp Air CA-9",7,-46.6377697,-23.509422
"102","Aug 13, 2014 at 1000 LT","Santos, São Paulo","Cessna 560XLS Citation Excel",7,-46.3264089,-23.9561304
"103","Aug 14, 2011 at 1030 LT","Tzaneen, Limpopo","Piaggio P.166",7,30.1358346,-23.8319853
"104","Apr 13, 2010 at 2318 LT","Monterrey, Nuevo León","Airbus A300",7,-100.3161126,25.6866142
"105","Nov 27, 2008 at 1646 LT","Saint-Cyprien, Pyrénées-Orientales","Airbus A320",7,3.004182,42.61783
"106","Oct 11, 2007 at 2022 LT","Bogotá, Bogotá Capital District","Beechcraft Super King Air 200",7,-74.072092,4.7109886
"107","Nov 8, 2006 at 0950 LT","Nakhon Sawan, Nakhon Sawan ","Learjet 35",7,100.11996,15.6987382
"108","Jul 2, 2004 at 1338 LT","Panama City, Panamá","IAI 1124 Westwind",7,-79.5198696,8.9823792
"109","May 11, 2004","Dalang, South Kordofan ","Antonov AN-12",7,29.655711,12.0527239
"110","Jan 17, 2003","Ndjolé, Moyen-Ogooué ","Antonov AN-26",7,10.7605239,-0.1882802
"111","Dec 16, 2000 at 2130 LT","São Paulo, São Paulo","Rockwell Grand Commander 680",7,-46.6333094,-23.5505199
"112","Oct 1, 1997 at 2145 LT","Chapecó, Santa Catarina","Embraer EMB-121 Xingu",7,-52.615699,-27.1009343
"113","Jan 20, 2015 at 1540 LT","Shatyrkul, Jambyl","PZL-Mielec AN-2",6,NA,NA
"114","Nov 19, 2013 at 1115 LT","Mouffy, Yonne","Socata TBM-700",6,3.514373,47.652129
"115","Nov 9, 2012 at 1545 LT","Mende, Lozère","Casa C-295M",6,3.501873,44.517611
"116","Jan 14, 2011 at 1750 LT","Goiânia, Goiás","Beechcraft Super King Air 200",6,-49.2647885,-16.6868824
"117","Mar 1, 2010 at 1346 LT","Concepcion, Región del Biobío","Piper PA-31-350 Navajo Chieftain",6,-73.0443904,-36.8201352
"118","Apr 9, 2009 at 0743 LT","Wamena, Special Region of Papua","BAe 146",6,138.9516853,-4.1001213
"119","Apr 23, 2006 at 0455 LT","Kousséri, Far North","Antonov AN-74",6,15.0148322,12.087083
"120","May 8, 2005 at 1927 LT","Córdoba, Córdoba","Piper PA-31-350 Navajo Chieftain",6,-64.1887761,-31.4200833
"121","May 7, 2004 at 1500 LT","Jiech, Jonglei ","Let 410UVP",6,NA,NA
"122","Nov 10, 1999 at 1200 LT","Mbandaka, Équateur","Antonov AN-12",6,18.2970692,0.0265717
"123","Apr 7, 1999 at 0045 LT","Adana, Mediterranean Region ","Boeing 737-400",6,35.3308285,36.9914194
"124","May 22, 1997","Serang, Banten","Casa-Nurtanio CN235 (IPTN)",6,106.1639749,-6.1103661
"125","May 15, 1997","Gyandzha, Ganja-Gazakh","Yakovlev Yak-40",6,NA,NA
"126","Aug 19, 2017 at 0016 LT","Naiguatá, Vargas","Learjet 25",5,-66.739712,10.6181274
"127","Jul 5, 2017 at 1110 LT","Wamena, Special Region of Papua","Pilatus PC-6 (Porter & Turbo Porter)",5,138.9516853,-4.1001213
"128","Apr 17, 2017 at 1213 LT","Cascais, Estremadura - Lisbon District","Piper PA-31 Cheyenne",5,-9.4207438,38.6967571
"129","Dec 20, 2016 at 1723 LT","Puerto Carreño, Vichada","Boeing 727-200",5,-67.488462,6.184766
"130","Jun 2, 2015 at 1435 LT","Santiago de Querétaro, Querétaro","Swearingen SA226AC Metro II",5,-100.3898881,20.5887932
"131","Dec 12, 2014 at 0620 LT","Hokandara, Western Province ","Antonov AN-32",5,79.9696277,6.8743192
"132","May 8, 2014 at 1202 LT","San Vincente del Caguán, Caquetá","Douglas DC-3",5,-74.7732056,2.1136446
"133","Dec 4, 2013","Pukanu, Pará","Britten-Norman Islander",5,NA,NA
"134","Feb 3, 2013 at 2030 LT","Cândido Mota, São Paulo","Beechcraft King Air 90",5,-50.3880476,-22.7466667
"135","Dec 8, 2010 at 1200 LT","Ouarzazate, Souss-Massa-Drâa","Britten-Norman Islander",5,-6.937016,30.9335436
"136","Nov 24, 2010 at 1436 LT","Monterrey, Nuevo León","Antonov AN-32",5,-100.3161126,25.6866142
"137","Oct 24, 2008 at 1040 LT","Asunción, Distrito Capital","Cessna 402",5,-57.575926,-25.2637399
"138","May 30, 2008 at 0940 LT","Tegucigalpa, Francisco Morazán","Airbus A320",5,-87.192136,14.0722751
"139","Apr 8, 2008 at 0930 LT","Hanoi, Hà N","Antonov AN-26",5,105.8341598,21.0277644
"140","Jun 11, 2006 at 1830 LT","Abéché, Ouaddaï","Lockheed C-130 Hercules",5,20.8433709,13.8359124
"141","Dec 14, 2004 at 1230 LT","Monterrey, Nuevo León","Rockwell Aero Commander 685",5,-100.3161126,25.6866142
"142","Aug 15, 2002 at 1235 LT","Colombo, Western Province ","Harbin Yunsunji Y-8",5,79.861243,6.9270786
"143","Sep 17, 1999","Santa Lucia AFB, Los Reyes Acozac, México","Lockheed C-130 Hercules",5,-99.0129947,19.7513358
"144","Apr 8, 1999 at 1130 LT","Málaga, Santander","De Havilland DHC-6 Twin Otter",5,-72.729891,6.703858
"145","Apr 7, 1999 at 1147 LT","Ribeirão Preto, São Paulo","Learjet 24",5,-47.8103238,-21.1704008
"146","Sep 10, 1998","Chaklala AFB ","Lockheed C-130 Hercules",5,NA,NA
"147","Aug 19, 1998 at 1643 LT","Halfmoon Bay ","Cessna 402",5,-122.4285862,37.4635519
"148","Mar 2, 1998 at 1505 LT","Chaitén, Región de Los Lagos","Cessna 401",5,-72.7167,-42.9167
"149","Dec 20, 1997 at 0930 LT","Tanagra, Central Greece / Ste","Lockheed C-130 Hercules",5,NA,NA
"150","Aug 20, 2015 at 0923 LT","Vršatec, Trencín Region","Let 410UVP",4,18.147161,49.067989
"151","May 20, 2015","Puerto Colombia, Atlántico","Hawker 800XP",4,-74.950761,11.001004
"152","Aug 23, 2014 at 1355 LT","Mulume Munene, Sud-Kivu","Let 410UVP",4,NA,NA
"153","Jan 11, 2014 at 1200 LT","Trier-Föhren, Rhineland-Palatinate","Cessna 501 Citation I",4,6.7862758,49.8633681
"154","Oct 5, 2013 at 0100 LT","Acandí, Chocó","De Havilland Dash-8-200",4,-77.27898,8.510109
"155","Sep 24, 2013 at 1040 LT","Lyon-Bron, Rhône","Cessna 421C Golden Eagle III",4,4.911927,45.733316
"156","Nov 6, 2012 at 1900 LT","Curitiba, Paraná","Piper PA-31 Cheyenne",4,-49.2653819,-25.4244287
"157","Aug 24, 2012 at 1800 LT","Montbéliard, Doubs","Pilatus PC-12",4,6.798466,47.510356
"158","Oct 25, 2011","Al Anad AFB ","Antonov",4,NA,NA
"159","Apr 2, 2011 at 0934 LT","Roswell, New Mexico","Gulfstream G650",4,-104.5230242,33.3942655
"160","Mar 31, 2009 at 1645 LT","Gdynia-Babie Doly AFB, Pomeranian Voivodeship ","PZL-Mielec AN-28",4,NA,NA
"161","Jun 29, 2007 at 1033 LT","Bouaké, Vallée du Bandama","Fokker 100",4,-5.0390536,7.690466
"162","Oct 26, 2006 at 1326 LT","Malmö, Skåne","Casa 212 Aviocar",4,13.003822,55.604981
"163","Oct 19, 2006 at 0042 LT","Besançon, Doubs","Beechcraft King Air 90",4,6.0240539,47.237829
"164","Mar 29, 2006","Chanthaburi, Chanthaburi ","Pilatus PC-6 (Porter & Turbo Porter)",4,102.1037806,12.6112485
"165","Jul 13, 2003 at 1415 LT","San Cristobal, Táchira","Let 410UVP",4,-72.2261466,7.7713572
"166","Jul 1, 2003 at 2330 LT","Belém, Pará","Mitsubishi MU-2 Marquise",4,-48.4901968,-1.4557794
"167","May 21, 2003 at 1125 LT","Iwakuni AFB, Chugoku","Learjet 36",4,NA,NA
"168","Aug 29, 2001 at 1016 LT","Málaga, Andalusia","Casa-Nurtanio CN235 (IPTN)",4,-4.4213988,36.7212737
"169","May 18, 2001 at 1200 LT","Ankara, Central Anatolia Region ","Casa-Nurtanio CN235 (IPTN)",4,32.8597419,39.9333635
"170","Oct 24, 2000 at 1716 LT","Donaueschingen, Baden-Württemberg","Beechcraft Super King Air 300",4,8.4979461,47.9521523
"171","Jan 24, 2000","Ankara, Central Anatolia Region ","Beechcraft King Air 90",4,32.8597419,39.9333635
"172","Jan 15, 2000 at 1310 LT","San José, San José ","Let 410UVP",4,-84.0907246,9.9280694
"173","Jul 9, 1999 at 0430 LT","Toluca, México","BAe 125",4,-99.6556653,19.2826098
"174","Apr 24, 1999","Haifa ","Pilatus PC-6 (Porter & Turbo Porter)",4,34.989571,32.7940463
"175","Oct 21, 1998 at 0851 LT","Fortaleza, Ceará","Embraer EMB-120 Brasília",4,-38.5267393,-3.7319029
"176","May 20, 1997 at 1835 LT","Mexico, Mexico","Rockwell 1121 Jet Commander",4,-99.133208,19.4326077
"177","Mar 20, 1997","Juba, Central Equatoria ","Antonov AN-24",4,31.57125,4.859363
"178","Feb 21, 1997 at 1045 LT","Colombo, Western Province ","Antonov AN-32",4,79.861243,6.9270786
"179","Jan 20, 1997 at 0515 LT","Palaly, Northern Province ","Harbin Yunsunji Y-12",4,80.0898085,9.7982377
"180","Feb 9, 2017","Thebephatshwa AFB, Kweneng District","Casa 212 Aviocar",3,NA,NA
"181","Oct 9, 2016 at 1000 LT","Uchuquinua, Cajamarca","Cessna 207 Skywagon",3,NA,NA
"182","Aug 20, 2015 at 0923 LT","Vršatec, Trencín Region","Let 410UVP",3,18.147161,49.067989
"183","Aug 8, 2015 at 1003 LT","Cajicá, Cundinamarca","Cessna 402",3,-74.024773,4.917531
"184","Aug 8, 2013 at 0940 LT","Clermont-Ferrand, Puy-de-Dôme","Socata TBM-850",3,3.087025,45.777222
"185","Oct 12, 2012 at 1740 LT","Kacha NAS, Autonomous Republic of Crimea","Beriev Be-12",3,NA,NA
"186","Aug 30, 2012 at 0915 LT","Hualien, Hualien County ","Britten-Norman Islander",3,121.6111949,23.9910732
"187","Sep 22, 2011 at 1313 LT","Wamena, Special Region of Papua","Pilatus PC-6 (Porter & Turbo Porter)",3,138.9516853,-4.1001213
"188","Sep 20, 2011 at 1630 LT","Cap Haïtien, North","Beechcraft 99",3,-72.2067681,19.7370362
"189","Mar 10, 2010 at 1405 LT","Tegucigalpa, Francisco Morazán","Cessna 421 Golden Eagle",3,-87.192136,14.0722751
"190","Jun 29, 2009 at 1601 LT","Wamena, Special Region of Papua","De Havilland DHC-6 Twin Otter",3,138.9516853,-4.1001213
"191","Oct 17, 2008 at 1200 LT","Monterrey, Nuevo León","Cessna 402",3,-100.3161126,25.6866142
"192","Jul 7, 2008 at 0352 LT","Bogotá, Bogotá Capital District","Boeing 747-200",3,-74.072092,4.7109886
"193","Jul 2, 2008 at 1430 LT","Cochamó, Región de Los Lagos","De Havilland DHC-6 Twin Otter",3,-72.3084312,-41.4923218
"194","Nov 18, 2005 at 1030 LT","Privacion, Belize","Britten-Norman Islander",3,NA,NA
"195","Nov 4, 2005 at 0845 LT","Hanoi, Hà N","PZL-Mielec AN-28",3,105.8341598,21.0277644
"196","Dec 24, 2004 at 0933 LT","Montpellier, Hérault","Beechcraft King Air 90",3,3.876716,43.610769
"197","Oct 15, 2004 at 0746 LT","Medellín, Antioquia","Douglas DC-3",3,-75.5812119,6.244203
"198","Dec 18, 2003 at 1700 LT","Mitú, Vaupés","Douglas DC-9",3,-70.233618,1.2521739
"199","Sep 27, 2003 at 1857 LT","Gaspé, Quebec","Piper PA-31-350 Navajo Chieftain",3,-64.4869017,48.8316351
"200","Dec 26, 2002 at 1120 LT","Curitiba, Paraná","Embraer EMB-110 Bandeirante",3,-49.2653819,-25.4244287
"201","Apr 19, 2002 at 0853 LT","Popayán, Cauca","Antonov AN-32",3,-76.6147395,2.4448143
"202","Nov 29, 2001 at 1148 LT","Quepos, Puntarenas ","Cessna 208 Caravan",3,-84.1619076,9.4318681
